City,State,Latitude,Longitude,Population
New York,New York,40.6943,-73.9249,18908608
Los Angeles,California,34.1141,-118.4068,11922389
Chicago,Illinois,41.8375,-87.6866,8497759
Miami,Florida,25.784,-80.2101,6080145
Houston,Texas,29.786,-95.3885,5970127
Dallas,Texas,32.7935,-96.7667,5830932
Philadelphia,Pennsylvania,40.0077,-75.1339,5683533
Atlanta,Georgia,33.7628,-84.422,5180179
Washington,District of Columbia,38.9047,-77.0163,5116378
Boston,Massachusetts,42.3188,-71.0852,4328315
Phoenix,Arizona,33.5722,-112.0892,4064275
Detroit,Michigan,42.3834,-83.1024,3725908
Seattle,Washington,47.6211,-122.3244,3561397
San Francisco,California,37.7558,-122.4449,3364979
San Diego,California,32.8313,-117.1222,3046560
Minneapolis,Minnesota,44.9635,-93.2678,2892569
Tampa,Florida,27.9945,-82.4447,2861173
Brooklyn,New York,40.6501,-73.9496,2736074
Denver,Colorado,39.762,-104.8758,2687458
Queens,New York,40.7498,-73.7976,2405464
Riverside,California,33.9381,-117.3949,2332836
Las Vegas,Nevada,36.2333,-115.2654,2248047
Baltimore,Maryland,39.3051,-76.6144,2196524
St. Louis,Missouri,38.6359,-90.2451,2130881
Portland,Oregon,45.5371,-122.65,2095808
San Antonio,Texas,29.4632,-98.5238,2058444
Sacramento,California,38.5677,-121.4685,1957738
Austin,Texas,30.3005,-97.7522,1905945
Orlando,Florida,28.4773,-81.337,1882705
San Juan,Puerto Rico,18.3985,-66.061,1814587
San Jose,California,37.3012,-121.848,1771413
Pittsburgh,Pennsylvania,40.4397,-79.9763,1749091
Indianapolis,Indiana,39.7771,-86.1458,1729849
Manhattan,New York,40.7834,-73.9662,1694263
Cincinnati,Ohio,39.1413,-84.506,1692702
Kansas City,Missouri,39.1238,-94.5541,1689556
Cleveland,Ohio,41.4764,-81.6805,1680247
Columbus,Ohio,39.9862,-82.9855,1572546
Bronx,New York,40.8501,-73.8662,1472654
Virginia Beach,Virginia,36.7335,-76.0435,1443020
Charlotte,North Carolina,35.2083,-80.8303,1427444
Milwaukee,Wisconsin,43.0642,-87.9675,1290940
Providence,Rhode Island,41.823,-71.4187,1290271
Jacksonville,Florida,30.3322,-81.6749,1288298
Nashville,Tennessee,36.1715,-86.7842,1177657
Salt Lake City,Utah,40.7776,-111.9311,1173879
Raleigh,North Carolina,35.8324,-78.6429,1163152
Richmond,Virginia,37.5295,-77.4756,1073223
Memphis,Tennessee,35.1087,-89.9663,1037998
Oklahoma City,Oklahoma,35.4676,-97.5136,998806
Hartford,Connecticut,41.7661,-72.6834,974684
Louisville,Kentucky,38.1663,-85.6485,963812
Buffalo,New York,42.9018,-78.8487,944589
New Orleans,Louisiana,30.0687,-89.9288,932759
Fort Worth,Texas,32.7817,-97.3474,908469
Bridgeport,Connecticut,41.1918,-73.1954,908251
Tucson,Arizona,32.1541,-110.8787,878320
El Paso,Texas,31.8476,-106.43,865270
Omaha,Nebraska,41.2627,-96.0529,821345
McAllen,Texas,26.2252,-98.2467,797341
Birmingham,Alabama,33.5279,-86.7971,782111
Albuquerque,New Mexico,35.1054,-106.6465,769986
Tulsa,Oklahoma,36.1283,-95.9042,731743
Fresno,California,36.783,-119.7939,725276
Charleston,South Carolina,32.8168,-79.9687,706884
Rochester,New York,43.168,-77.6162,699921
Dayton,Ohio,39.7805,-84.2003,668825
Cape Coral,Florida,26.6443,-81.9957,654405
Mission Viejo,California,33.6096,-117.6551,642211
Colorado Springs,Colorado,38.8674,-104.7605,638194
Baton Rouge,Louisiana,30.442,-91.1311,635671
Allentown,Pennsylvania,40.5961,-75.4756,627863
Ogden,Utah,41.2279,-111.9682,622918
Provo,Utah,40.2457,-111.6457,619218
Knoxville,Tennessee,35.9692,-83.9496,615829
Grand Rapids,Michigan,42.9619,-85.6562,609023
Columbia,South Carolina,34.0378,-80.9036,604065
Albany,New York,42.6664,-73.7987,590694
Bakersfield,California,35.3529,-119.0359,571992
New Haven,Connecticut,41.3113,-72.9246,565572
Des Moines,Iowa,41.5725,-93.6105,548926
Akron,Ohio,41.0798,-81.5219,541945
Palm Bay,Florida,27.9631,-80.6593,534348
Concord,California,37.9722,-122.0016,531175
Wichita,Kansas,37.6895,-97.3443,509003
Harrisburg,Pennsylvania,40.2752,-76.8843,498329
Mesa,Arizona,33.4015,-111.7178,497752
Staten Island,New York,40.5834,-74.1496,495747
Toledo,Ohio,41.6638,-83.5827,493302
Worcester,Massachusetts,42.2705,-71.8079,486486
Long Beach,California,33.7977,-118.167,466565
Port St. Lucie,Florida,27.2796,-80.3884,462047
Little Rock,Arkansas,34.7256,-92.3577,459409
Reno,Nevada,39.5497,-119.8483,457702
Spokane,Washington,47.6671,-117.433,456219
Madison,Wisconsin,43.0822,-89.393,451652
Boise,Idaho,43.6005,-116.2308,449776
Bonita Springs,Florida,26.3558,-81.7859,449527
Denton,Texas,33.2175,-97.1418,438492
Springfield,Massachusetts,42.1155,-72.5395,437752
