Museum Name,Museum Type,Latitude,Longitude,Income,Revenue,State
ALASKA AVIATION HERITAGE MUSEUM,HISTORY MUSEUM,61.17925,-149.97254,602912.0,550236.0,AK
ALASKA BOTANICAL GARDEN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",61.1689,-149.76708,1379576.0,1323742.0,AK
ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,60.56149,-151.21598,740030.0,729080.0,AK
ALASKA EDUCATORS HISTORICAL SOCIETY,HISTORIC PRESERVATION,60.5628,-151.26597,0.0,0.0,AK
ALASKA HERITAGE MUSEUM,HISTORY MUSEUM,61.17925,-149.97254,602912.0,550236.0,AK
ALASKA HISTORICAL MUSEUM,HISTORIC PRESERVATION,61.21785,-149.85049,0.0,0.0,AK
ALASKA JEWISH MUSEUM,GENERAL MUSEUM,61.18946,-149.86071,2658938.0,34374.0,AK
ALASKA LIGHTHOUSE ASSOCIATION,HISTORIC PRESERVATION,58.28299,-134.40583,16500.0,16500.0,AK
ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,GENERAL MUSEUM,61.21833,-149.89456,0.0,0.0,AK
ALASKA MINING HALL OF FAME FOUNDATION,HISTORY MUSEUM,64.85079,-147.82945,184295.0,31393.0,AK
ALASKA NATIONAL GUARD HISTORICAL HOLDING-MUSEUM,HISTORIC PRESERVATION,61.25315,-149.68711,0.0,0.0,AK
ALASKA NATIVE HERITAGE CENTER,GENERAL MUSEUM,61.23361,-149.71566,4502727.0,4050394.0,AK
ALASKA SEALIFE CENTER,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",60.20885,-149.38716,0.0,0.0,AK
ALASKA SPORTS HALL OF FAME,GENERAL MUSEUM,61.08741,-149.6926,1370930.0,615273.0,AK
ALASKA STATE MUSEUM,GENERAL MUSEUM,58.30048,-134.4148,182675.0,129192.0,AK
ALASKA TERRITORIAL CAVALRY MOTORIZED,GENERAL MUSEUM,61.19007,-149.91195,0.0,0.0,AK
ALASKA TROOPER MUSEUM,GENERAL MUSEUM,61.21765,-149.88622,769702.0,221807.0,AK
ALASKA VETERANS MUSEUM,HISTORY MUSEUM,61.21406,-149.87855,0.0,0.0,AK
ALASKA WILDLIFE CONSERVATION CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",60.96435,-149.13368,3331564.0,2793744.0,AK
ALASKA ZOO,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",61.12476,-149.79254,3310088.0,2393748.0,AK
ALASKALAND PIONEER AIR MUSEUM,GENERAL MUSEUM,64.84231,-147.72457,0.0,0.0,AK
ALPINE HISTORICAL SOCIETY,HISTORIC PRESERVATION,61.76392,-148.38192,157509.0,157509.0,AK
ALUTIIQ HERITAGE ENDOWMENT,HISTORIC PRESERVATION,61.18152,-149.88518,331826.0,15734.0,AK
ALUTIIQ HERITAGE FOUNDATION,GENERAL MUSEUM,57.78869,-152.4025,1103875.0,1055839.0,AK
AMERICAN TROPHY TAXIDERMY,GENERAL MUSEUM,60.50184,-150.98965,0.0,0.0,AK
ANCHORAGE CLAY ARTS GUILD,ART MUSEUM,61.18495,-149.89178,0.0,0.0,AK
ANCHORAGE GENEALOGICAL SOCIETY,HISTORIC PRESERVATION,61.18495,-149.89178,8282.0,8282.0,AK
ANCHORAGE HISTORIC PROPERTIES,HISTORIC PRESERVATION,61.21978,-149.89524,0.0,0.0,AK
ANCHORAGE MUSEUM,GENERAL MUSEUM,61.21608,-149.8853,6851982.0,4116780.0,AK
ARC GALLERY,ART MUSEUM,64.81712,-147.87837,0.0,0.0,AK
BARANOV MUSEUM,HISTORIC PRESERVATION,57.7885,-152.39915,333248.0,288158.0,AK
BRISTOL BAY HISTORICAL SOCIETY,HISTORIC PRESERVATION,58.85984,-156.71037,0.0,0.0,AK
BUNNELL STREET GALLERY,ART MUSEUM,59.64002,-151.54459,335104.0,335104.0,AK
CAPE DECISION LIGHTHOUSE SOCIETY,HISTORIC PRESERVATION,57.05246,-135.3427,0.0,0.0,AK
CAPE ST ELIAS LIGHTKEEPERS ASSOCIATION,HISTORIC PRESERVATION,60.07439,-147.99241,59819.0,59819.0,AK
CARR-GOTTSTEIN GALLERY,ART MUSEUM,61.18889,-149.80347,66512448.0,63692296.0,AK
CENTER FOR ALASKAN COASTAL STUDIES,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",59.64585,-151.52423,914275.0,908922.0,AK
CHILDREN'S MUSEUM OF ALASKA,CHILDREN'S MUSEUM,61.11024,-149.86107,0.0,0.0,AK
CHILKAT INDIAN VILLAGE,HISTORIC PRESERVATION,59.24675,-135.47365,0.0,0.0,AK
CHILKAT VALLEY HISTORICAL SOCIETY,HISTORIC PRESERVATION,59.24675,-135.47365,0.0,0.0,AK
CHUGIAK-EAGLE RIVER HISTORICAL SOCIETY,HISTORIC PRESERVATION,61.38967,-149.47465,0.0,0.0,AK
CIRCLE DISTRICT HISTORICAL SOCIETY,HISTORIC PRESERVATION,65.34556,-145.14026,0.0,0.0,AK
CLAUDIA KELSEY DOLL MUSEUM,GENERAL MUSEUM,58.3005,-134.40561,0.0,0.0,AK
CLAUSEN MEMORIAL MUSEUM,HISTORY MUSEUM,56.80634,-132.96963,86045.0,86045.0,AK
COLONY HOUSE MUSEUM,GENERAL MUSEUM,61.59873,-149.11008,0.0,0.0,AK
COPPER VALLEY HISTORICAL SOCIETY,HISTORIC PRESERVATION,61.92025,-145.38294,0.0,0.0,AK
CORDOVA HISTORICAL SOCIETY,HISTORIC PRESERVATION,60.07439,-147.99241,47693.0,34193.0,AK
DENALI NATIONAL PARK AND PRESERVE,HISTORIC PRESERVATION,63.62586,-150.90305,1422621.0,1416741.0,AK
DOG MUSHING MUSEUM,GENERAL MUSEUM,64.84166,-147.72054,0.0,0.0,AK
DOROTHY G PAGE MUSEUM,GENERAL MUSEUM,61.58234,-149.44139,0.0,0.0,AK
EAGLE HISTORICAL SOCIETY,HISTORIC PRESERVATION,64.78917,-141.20294,16773.0,14657.0,AK
EAGLE HISTORICAL SOCIETY OF ALASKA,HISTORIC PRESERVATION,64.78917,-141.20294,16773.0,14657.0,AK
EAGLE RIVER NATURE CENTER,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",61.23644,-149.27332,295812.0,268677.0,AK
FAIRBANKS CHILDREN'S MUSEUM,CHILDREN'S MUSEUM,64.84217,-147.72078,156377.0,156377.0,AK
FAIRBANKS COMMUNITY MUSEUM,HISTORY MUSEUM,64.84231,-147.72457,0.0,0.0,AK
FAIRBANKS HOCKEY HALL OF FAME,GENERAL MUSEUM,64.83881,-147.70136,35320.0,31075.0,AK
FAIRBANKS ICE MUSEUM,GENERAL MUSEUM,64.84363,-147.71794,0.0,0.0,AK
GARY L. FREEBURG ART GALLERY,ART MUSEUM,64.81712,-147.87837,0.0,0.0,AK
GASTINEAU CHANNEL HISTORICAL SOCIETY,HISTORIC PRESERVATION,58.30836,-134.39819,0.0,0.0,AK
GATES OF THE ARCTIC NATIONAL PARK AND PRESERVE,HISTORIC PRESERVATION,64.84911,-147.83878,0.0,0.0,AK
GEORGESON BOTANICAL GARDEN,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",64.81712,-147.87837,0.0,0.0,AK
GLACIER BAY NATIONAL PARK & PRESERVE,HISTORIC PRESERVATION,58.82437,-136.97103,0.0,0.0,AK
GLENN HIGHWAY SCENIC BYWAY ASSOCIATION,HISTORIC PRESERVATION,61.31504,-149.52682,0.0,0.0,AK
GOLDBELT HERITAGE FOUNDATION,HISTORIC PRESERVATION,58.33036,-134.47205,1549084.0,1549084.0,AK
GUSTAVUS HISTORICAL ARCHIVES AND ANTIQUITIES,HISTORIC PRESERVATION,58.82437,-136.97103,0.0,0.0,AK
HAL HOPKINS WW II MEMORIAL,HISTORIC PRESERVATION,61.19491,-149.76884,0.0,0.0,AK
HAMMER MUSEUM,HISTORY MUSEUM,59.24675,-135.47365,0.0,0.0,AK
HISTORIC HALL,HISTORIC PRESERVATION,64.85079,-147.82945,0.0,0.0,AK
HOMER SOCIETY OF NATURAL HISTORY,NATURAL HISTORY MUSEUM,59.6447,-151.5504,780811.0,742408.0,AK
HOPE AND SUNRISE HISTORICAL SOCIETY,HISTORIC PRESERVATION,60.88669,-149.54407,0.0,0.0,AK
HOPE AND SUNRISE MUSEUM,GENERAL MUSEUM,60.88669,-149.54407,0.0,0.0,AK
HUBBELL FAMILY HISTORICAL SOCIETY,HISTORIC PRESERVATION,60.58442,-151.23509,0.0,0.0,AK
IDITAROD NATIONAL HISTORIC TRAIL,HISTORIC PRESERVATION,61.19811,-149.92363,91510.0,91510.0,AK
IDITAROD TRAIL SLED DOG RACE MUSEUM,GENERAL MUSEUM,61.56479,-149.45177,0.0,0.0,AK
INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,ART MUSEUM,61.21824,-149.88931,48842.0,39227.0,AK
INUPIAT HERITAGE CENTER,GENERAL MUSEUM,70.66976,-155.14303,0.0,0.0,AK
JENSEN-OLSON ARBORETUM,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",58.48383,-134.77955,0.0,0.0,AK
JESSE LEE HOME,HISTORIC PRESERVATION,60.20885,-149.38716,1037819.0,1037819.0,AK
JEWELL GARDENS,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",59.45637,-135.31356,0.0,0.0,AK
JILKAAT KWAAN HERITAGE CENTER,GENERAL MUSEUM,59.24675,-135.47365,78314.0,78314.0,AK
