Longitude,Latitude,Museum Name,Rank,Rating,Review Count
-77.0192351,38.8931385,Newseum,8,4.5,"6,309"
-73.9629278,40.7791655,The Metropolitan Museum of Art,2,5.0,"36,627"
-90.07008599999999,29.9430044,The National WWII Museum,1,5.0,"15,611"
-104.94102,39.76918939999999,Denver Museum of Nature & Science,4,4.5,"2,564"
-87.6237238,41.8795473,Art Institute of Chicago,1,5.0,"15,532"
-74.0124786,40.7114147,The National 9/11 Memorial & Museum,3,4.5,"48,437"
-71.0850239,42.3428415,Museum of Fine Arts,2,4.5,"5,480"
-87.61698620000001,41.8661733,The Field Museum,9,4.5,"5,500"
-77.02596129999999,38.89210370000001,Smithsonian National Museum of Natural History,12,4.5,"7,640"
-77.01990479999999,38.8875682,Smithsonian National Air and Space Museum,3,4.5,"14,492"
-73.9717106,40.7820454,American Museum of Natural History,32,4.5,"13,992"
-87.5830586,41.7906088,Museum of Science and Industry,6,4.5,"6,867"
-73.966075,40.7737839,Frick Collection,10,4.5,"6,746"
-87.2866995,30.355867,National Naval Aviation Museum,1,5.0,"4,057"
-90.661378,42.496887,National Mississippi River Museum & Aquarium,2,4.5,"1,036"
-76.65212989999999,40.2852523,The Hershey Story,4,4.5,"1,127"
-75.18116160000001,39.9658015,Philadelphia Museum of Art,1,4.5,"4,713"
-82.5645578,27.382924,The Ringling,1,4.5,"4,450"
-117.1495479,32.7311048,Balboa Park,3,4.5,"7,453"
-118.4751057,34.0790329,The Getty Center,1,5.0,"9,418"
-95.3892615,29.7215988,The Houston Museum of Natural Science,1,4.5,"3,070"
-77.0326078,38.8867068,United States Holocaust Memorial Museum,5,4.5,"7,031"
-115.1412426,36.1728147,The Mob Museum,12,4.5,"5,115"
-118.3588851,34.0637913,Los Angeles County Museum of Art,9,4.5,"1,855"
-86.7758352,36.1608755,The Johnny Cash Museum,8,4.5,"3,130"
-122.2966729,47.5182137,The Museum of Flight,2,4.5,"4,356"
-96.8066158,32.7869275,Perot Museum of Nature and Science,5,4.5,"2,242"
-111.1681062,32.2440117,Arizona-Sonora Desert Museum,1,5.0,"5,590"
-122.3345508,47.6105075,EMP Museum,16,4.0,"4,067"
-122.4585992,37.8013387,Walt Disney Family Museum,15,4.5,"1,894"
-115.135146,36.176947,The Neon Museum,20,4.5,"2,507"
-73.9771203,40.761417,The Museum of Modern Art (MoMA),28,4.5,"10,591"
-99.3306556,43.810828,Akta Lakota Museum,1,5.0,147
-111.9783828,33.6676191,Musical Instrument Museum,1,5.0,"3,553"
-82.6314787,27.7659759,The Dali Museum,1,4.5,"5,110"
-96.8084731,32.7798567,The Sixth Floor Museum/Texas School Book Depository,2,4.5,"5,628"
-90.0575008,35.1346041,National Civil Rights Museum - Lorraine Motel,1,4.5,"4,682"
-118.3554627,34.0638208,La Brea Tar Pits and Museum,15,4.5,"1,878"
-110.8681253,32.1614426,Pima Air & Space Museum,3,4.5,"2,861"
-83.5789351,35.82055,Titanic Museum Attraction,1,4.5,"6,212"
-77.02348529999999,38.8969085,International Spy Museum,46,4.0,"3,553"
-118.2861256,34.0171157,Natural History Museum of Los Angeles County,11,4.5,886
-85.7639901,38.2570582,Louisville Slugger Museum & Factory,2,4.5,"3,766"
-112.0722009,33.4724737,Heard Museum,3,4.5,"1,698"
-74.00670099999999,40.7412308,Ground Zero Museum Workshop,19,5.0,"2,588"
-118.3614346,34.0619358,Petersen Automotive Museum,10,4.5,"1,018"
-94.5859443,39.0810093,National World War I Museum and Memorial,1,5.0,"3,163"
-117.175658,32.7137622,USS Midway Museum,1,4.5,"15,105"
-90.2004238,38.6335758,City Museum,4,4.5,"4,331"
-122.497668,37.7813454,Legion of Honor,16,4.5,"1,431"
-104.9902678,39.7313797,Denver Art Museum,5,4.5,"2,084"
-81.6119252,41.5090158,Cleveland Museum of Art,1,5.0,"2,076"
-86.1579106,39.8107901,Children's Museum of Indianapolis,1,4.5,"2,694"
-83.2333161,42.3002415,The Henry Ford,1,5.0,"2,884"
-122.4686651,37.7714658,de Young Museum,26,4.5,"1,417"
